Label;degree;weighted degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;Authority;Hub;modularity_class;pageranks;componentnumber;clustering;triangles;eigencentrality
383;41;41;3;0.492806;0.545012;0.005051;0.088653;0.088654;2;0.004656;0;0.479268;393;0.586938
385;38;38;4;0.481547;0.533759;0.012504;0.076612;0.076612;2;0.004513;0;0.429587;302;0.508846
386;38;38;3;0.474048;0.527981;0.006364;0.094817;0.094817;2;0.00428;0;0.624467;439;0.575704
"402 ";49;49;3;0.496377;0.557178;0.020136;0.100506;0.100506;2;0.005546;0;0.330782;389;0.658308
404;30;30;4;0.434231;0.488139;0.000403;0.087089;0.08709;2;0.003377;0;0.931034;405;0.51297
406;13;13;4;0.408346;0.444647;0.002745;0.017657;0.017657;3;0.002271;0;0.448718;35;0.117834
408;7;7;4;0.384292;0.413321;0.000086;0.016065;0.016065;4;0.001237;0;0.47619;10;0.105107
410;40;40;4;0.464407;0.524635;0.004659;0.108233;0.108233;2;0.004366;0;0.647436;505;0.657231
415;40;40;4;0.464407;0.524635;0.004659;0.108233;0.108233;2;0.004366;0;0.647436;505;0.657231
415а;40;40;4;0.464407;0.524635;0.004659;0.108233;0.108233;2;0.004366;0;0.647436;505;0.657231
420;40;40;4;0.453642;0.516727;0.002205;0.105995;0.105996;2;0.004417;0;0.674359;526;0.634527
420б;40;40;4;0.453642;0.516727;0.002205;0.105995;0.105996;2;0.004417;0;0.674359;526;0.634527
2Л;3;3;5;0.334146;0.355779;0.001;0.002703;0.002703;1;0.001088;0;0.333333;1;0.018666
101;35;35;4;0.449918;0.508212;0.013971;0.063527;0.063527;2;0.004445;0;0.440336;262;0.417498
348;4;4;5;0.302428;0.322324;0.000073;0.002221;0.002221;1;0.001418;0;0.666667;4;0.015942
8;33;33;4;0.437002;0.494221;0.006885;0.035581;0.03558;0;0.00429;0;0.458333;242;0.299754
11;46;46;3;0.469983;0.534672;0.007073;0.06849;0.06849;1;0.005464;0;0.472464;489;0.505627
12;40;40;4;0.442649;0.509732;0.010022;0.054334;0.054334;1;0.004894;0;0.470513;367;0.413763
15;36;36;4;0.462057;0.517032;0.005277;0.043968;0.043967;0;0.004407;0;0.507937;320;0.371613
16;31;31;4;0.443366;0.495438;0.00089;0.057226;0.057226;1;0.003708;0;0.703226;327;0.407136
39;30;30;4;0.4384;0.489964;0.000865;0.054231;0.054231;1;0.003604;0;0.698851;304;0.389405
53;30;30;3;0.450658;0.5;0.002333;0.044123;0.044123;1;0.003766;0;0.577011;251;0.333689
54;35;35;4;0.468376;0.52129;0.007921;0.050691;0.050691;0;0.004257;0;0.436975;260;0.397112
59;44;44;4;0.45515;0.520985;0.004668;0.07407;0.074071;1;0.005105;0;0.505285;478;0.530885
64;44;44;4;0.477352;0.538017;0.006657;0.07759;0.077591;1;0.005061;0;0.47463;449;0.55699
65;28;28;4;0.436306;0.486922;0.003843;0.032242;0.032242;0;0.00382;0;0.494709;187;0.267028
74;27;27;4;0.448445;0.496655;0.003058;0.042451;0.042451;1;0.003371;0;0.495726;174;0.322392
76;22;22;4;0.408346;0.457725;0.000808;0.032198;0.032198;1;0.002856;0;0.636364;147;0.256354
